Name,V,M,n,np,B,G,E,v,H,B',G',_,vL,vS,va,_e,_el,_es,_e,A,y-theory,y-exp
1100396_BLiSn,43.41,136.531,3,3,82.884,82.5803,185.9760364,0.126031489,26.33525058,-6.46784,-4.67971,5.222639312,6.078880227,3.976428807,4.357406921,369.12613,1.262494172,1.063325299,1.133609709,1.63E-06,33.96897105,37.42
1100438_SnLiSc,76.93,170.676,3,3,38.3202,2.21958,6.532612816,0.471587601,0.113795416,-1.35817,0.01819,3.68404793,3.347382295,0.77619844,0.886686666,62.06996963,1.076297288,-0.481896733,0.73549638,5.76E-07,0.205507017,36.48
961706_PtSiTi,51.05,271.045,3,3,165.445,71.9446,188.509088,0.310098937,9.209521671,-12.4405,-2.38072,8.816459197,5.444797214,2.856616893,3.194891926,256.4095455,1.358243888,0.677981549,0.959886177,1.09E-06,22.32246791,36.43
1001916_HfN,29.61,192.491,2,2,204.015,82.5997,218.3334878,0.321636082,9.183802887,-22.2776,-0.23297,10.79494837,5.394569825,2.766170531,3.098361067,298.169001,0.897859502,-0.124909604,0.528316983,2.61E-07,24.55870865,36.14
4524_ZnGeP2,164.92,399.896,8,8,71.6043,48.6109,118.9214688,0.223197562,12.33016309,-1.5902,-0.26291,4.026449737,5.820710833,3.474606997,3.845663146,208.7805629,1.006440933,0.279314761,0.624221335,3.89E-07,8.297629349,35
2783854_AsMnFe,161.15,742.828,12,3,184.655,30.7174,87.31080921,0.421194652,1.818642169,-4.40448,-0.49618,7.646442294,5.431889679,2.004299042,2.275454512,197.6156421,1.642625799,1.134866129,1.325903689,2.37E-06,7.362603004,33.78
2730034_MnTeTa,212.66,1453.94,12,3,173.94,80.5513,209.339054,0.299414497,10.59058506,-3.19238,-1.18238,11.34128162,4.980649861,2.665049068,2.976579811,235.6778992,1.635681365,1.394108459,1.479023362,3.08E-06,28.01036981,33.36
961660_FeSeTi,44.09,182.687,3,3,134.783,76.6483,193.3025203,0.260970696,13.08153904,-15.5394,-5.26917,6.880438121,5.868788692,3.337668629,3.710250009,312.6797392,1.9324261,1.348811859,1.567679548,3.54E-06,31.61549804,33.32
961659_PdSiTi,50.4,182.385,3,3,148.562,60.8217,160.5545988,0.319879244,7.7789451,-11.1326,-2.27333,6.009068147,6.182111681,3.181454473,3.562700705,287.1523844,1.387496609,0.775232623,1.020966548,1.27E-06,21.5320886,31.65
2711672_GeRhTa,211.87,1425.86,12,3,190.148,74.3218,197.2643007,0.327095823,8.285173343,-3.36157,-0.76845,11.16371855,5.09011436,2.580201778,2.892126048,229.2753286,1.439760251,0.928647908,1.125119765,1.60E-06,22.64207796,31.57
2785355_CrAsFe,161,731.06,12,3,191.958,75.1144,199.3419391,0.326922262,8.347817442,-4.38958,-1.14626,7.532317287,6.227436474,3.157892184,3.539573568,307.495606,1.464199195,1.061778611,1.210871163,1.91E-06,26.31775235,30.37
961653_FeSiW,42.34,267.782,3,3,234.434,124.176,316.6243543,0.274901568,15.96401034,-21.6561,-6.91361,10.50217076,6.171511516,3.438581287,3.828852797,327.0606669,1.467344668,1.011992041,1.183406968,1.80E-06,46.75717029,30.34
1009488_NiN,16.69,72.691,2,2,264.479,95.5838,255.9210882,0.338726271,8.758036107,-15.0723,-17.8207,7.23224042,7.361469871,3.63542943,4.081195708,475.4577254,0.660185675,1.389180051,1.19659065,1.85E-06,43.07737547,30.3
20305_InAs,60.07,189.742,2,2,48.8356,19.2234,50.98091028,0.326011795,3.78730485,-3.58561,0.35283,5.245107459,3.767941494,1.914423013,2.145554951,163.1036565,1.089787632,-0.717934863,0.859941474,8.39E-07,6.095339087,30
961668_PtAlV,50.01,273.002,3,3,141.659,33.2195,92.43320356,0.391249169,2.845241865,-10.1315,-2.30071,9.0647853,4.529197683,1.914334316,2.164462706,174.9072272,1.608223738,1.565125008,1.579621914,3.61E-06,8.650465471,29.89
2726485_SbZrPd,276.66,1277.58,12,3,101.226,9.9724,28.96599354,0.452308047,0.510189743,-1.31477,-0.27624,7.660254375,3.866552198,1.140980571,1.300550601,94.32823891,1.866311761,3.665137032,3.180648703,1.94E-05,2.340040532,28.61
2114_YN,29.51,102.907,2,2,158.814,120.916,289.3212824,0.196373029,24.02974365,-17.1711,-10.3388,5.790609203,7.434244434,4.569616541,5.042820393,485.8404793,1.260545243,1.09494465,1.152791089,1.69E-06,77.5149142,28.51
1764227_YSiLi,283.6,496.004,12,3,49.8562,22.2123,58.02034942,0.306041009,4.763983056,-0.50276,0.00539,2.901218325,5.233816654,2.766983435,3.093035424,222.4911537,0.717566373,-0.20107562,0.445632251,1.73E-07,5.476654072,27.87
2788344_NiSiZr,197.54,711.996,12,3,146.55,82.9916,209.439453,0.261811153,13.63739734,-2.38773,-1.06363,5.978936817,6.558856293,3.725676022,4.141985584,336.1141758,1.294846096,1.099181143,1.168050339,1.75E-06,35.32420115,27.69
